x,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39
600208.XSHG,0.987628866,1.016701461,0.983572895,0.96868476,0.982758621,0.973684211,0.986486486,0.988584475,1.004618938,0.972413793,0.992907801,1.00952381,1.014150943,0.997674419,1.051282051,0.949002217,0.992990654,0.995294118,0.990543735,1.016706444,1.089201878,1.079741379,1.015968064,1.053045187,1.014925373
600221.XSHG,0.990415335,1.025806452,1.018867925,0.99691358,0.996904025,0.99378882,1.009375,1.018575851,0.990881459,1.012269939,0.993939394,0.987804878,1.015432099,1,0.993920973,0.98470948,1.00931677,0.993846154,0.987616099,1.006269592,0.99376947,0.987460815,1.003174603,1.006329114,0.990566038
600252.XSHG,0.992287918,1.005181347,1.015463918,1.012690355,1.005012531,1.004987531,0.982630273,0.977272727,1.018087855,1.010152284,0.994974874,1.116161616,0.977375566,0.981481481,1.021226415,0.990762125,1.018648019,0.958810069,0.976133652,1.002444988,0.997560976,0.970660147,0.994962217,0.97721519,0.997409326
600256.XSHG,1.019337017,1.010840108,0.989276139,1.008130081,1.005376344,1.010695187,1.005291005,1.010526316,1.0234375,1.03307888,0.943349754,0.979112272,1.042666667,0.984654731,0.987012987,0.986842105,1.013333333,0.986842105,1.005333333,1.042440318,0.969465649,0.981627297,1.080213904,1.091584158,1.038548753
600271.XSHG,1.003397508,0.997742664,1.055429864,1.004823151,1.061333333,0.995979899,0.948536831,1.000531915,1.004784689,0.984656085,1.019881784,1,1.038988409,0.988843813,0.982051282,0.967624021,1.018888289,0.976165254,0.97287032,1.073061907,1.036902287,1.065162907,1.060705882,0.952528838,1.074988356
600276.XSHG,1.059876889,1.029303062,1.007437805,0.983197556,1.016312791,0.973757962,0.986917844,1.016436903,1.025821596,0.991100941,1.065674705,1.01324025,1.016155856,1.049333645,1.006016043,0.994241417,1.076854533,1.032685147,1.000400641,1.112134561,0.941843716,0.953163831,1.018251103,1.050423478,0.988749297
600297.XSHG,1.020989505,1.061674009,1.002766252,0.975172414,1.035360679,1.012295082,1.014844804,1,0.994680851,0.954545455,1.012605042,0.988934993,1.064335664,1.077529566,0.996341463,1.00244798,0.987789988,1.039555006,1.047562426,1.027241771,0.990055249,0.949776786,0.958871915,1.020833333,0.992797119
600309.XSHG,1.052058684,0.97705803,1.095764273,1.026890756,1.092062193,1.028849756,0.999271668,1.113338192,1.08903437,0.984971446,0.992065914,1.059058751,1.038629103,1.059004474,1.011618696,1.026363874,1.042726348,0.916585366,0.960351251,1.002770851,1.05277701,0.97847769,0.969152361,1.008580127,1
600332.XSHG,1.027283062,1.029140539,1.015053763,0.984816384,1.019003227,1.003870514,0.950928847,0.990416513,0.994789728,0.995136551,0.972180451,1.055684455,1.007326007,0.964,1.029045643,1.00659824,1.040786599,1.055283415,1.055702918,1,1,1,1,1,1
600340.XSHG,0.978547855,1.125463744,1.023973629,0.967808019,1.018445721,0.944180523,0.992767296,0.973392461,0.974617637,1.035058431,1.005483871,1.017003529,0.989905363,1,1.030911409,0.932302937,0.99535809,0.989007328,1.007746716,0.981617647,1.034729316,1.01052978,1.011722566,1.016736402,0.948084837
